municipio,nivel,PRIVADO,PÚBLICO,ratio_pub_priv
SAN LUIS RÍO COLORADO,SECUNDARIA,3116.0,47825.0,15.348202824133505
IMURIS,SECUNDARIA,220.0,3302.0,15.00909090909091
NAVOJOA,SECUNDARIA,3101.0,40080.0,12.924862947436312
EMPALME,SECUNDARIA,1018.0,12910.0,12.681728880157172
EMPALME,PRIMARIA,2107.0,26274.0,12.469862363550071
CABORCA,PRIMARIA,3684.0,45871.0,12.451411509229098
YÉCORA,PRIMARIA,229.0,2743.0,11.97816593886463
PUERTO PEÑASCO,SECUNDARIA,1604.0,18438.0,11.49501246882793
HUATABAMPO,PREESCOLAR,1135.0,12922.0,11.385022026431718
AGUA PRIETA,SECUNDARIA,1795.0,19933.0,11.104735376044568
SAN LUIS RÍO COLORADO,PRIMARIA,9811.0,97954.0,9.984099480175313
PUERTO PEÑASCO,PRIMARIA,3619.0,36059.0,9.963802155291518
ROSARIO,PRIMARIA,246.0,2410.0,9.796747967479675
MAGDALENA,PRIMARIA,1708.0,16510.0,9.666276346604215
CABORCA,PREESCOLAR,1338.0,12886.0,9.630792227204783
CABORCA,SECUNDARIA,2286.0,21937.0,9.596237970253718
NOGALES,SECUNDARIA,6713.0,63454.0,9.45240577983018
ROSARIO,SECUNDARIA,135.0,1249.0,9.251851851851852
NAVOJOA,PRIMARIA,7800.0,71707.0,9.193205128205129
NOGALES,PRIMARIA,14240.0,127556.0,8.957584269662922
AGUA PRIETA,PRIMARIA,4793.0,42709.0,8.910703108700188
GUAYMAS,PRIMARIA,9065.0,73819.0,8.143298400441257
YÉCORA,SECUNDARIA,160.0,1293.0,8.08125
MAGDALENA,PREESCOLAR,565.0,4315.0,7.6371681415929205
ALTAR,PREESCOLAR,246.0,1665.0,6.7682926829268295
PUERTO PEÑASCO,PREESCOLAR,1486.0,9615.0,6.470390309555855
NAVOJOA,PREESCOLAR,3765.0,23986.0,6.370783532536521
MAGDALENA,SECUNDARIA,1272.0,7732.0,6.078616352201258
GUAYMAS,SECUNDARIA,5531.0,33528.0,6.061833303200145
CAJEME,SECUNDARIA,14689.0,88761.0,6.042685002382735
EMPALME,PREESCOLAR,1136.0,6719.0,5.914612676056338
CANANEA,SECUNDARIA,1619.0,8987.0,5.550957381099444
GUAYMAS,PREESCOLAR,4108.0,22047.0,5.36684518013632
CAJEME,PRIMARIA,32768.0,169831.0,5.182830810546875
NOGALES,PREESCOLAR,6641.0,30596.0,4.607137479295287
SAN LUIS RÍO COLORADO,PREESCOLAR,4764.0,21335.0,4.478379513014274
CANANEA,PREESCOLAR,1443.0,6313.0,4.374913374913375
HERMOSILLO,PRIMARIA,86276.0,367902.0,4.264244981223052
HERMOSILLO,SECUNDARIA,44551.0,183970.0,4.129424704271509
AGUA PRIETA,PREESCOLAR,3077.0,10444.0,3.3942151446213846
CAJEME,PREESCOLAR,13582.0,44687.0,3.2901634516271536
CANANEA,PRIMARIA,6220.0,17277.0,2.777652733118971
HERMOSILLO,PREESCOLAR,36344.0,98191.0,2.7017114241690514
