municipio,periodo,grado_promedio_escolaridad,poblacion_asiste_escuela,poblacion_total,porcentaje_alfabetas,total_viviendas_habitadas,viviendas_con_automovil,viviendas_con_internet
Hermosillo,2005,9.9,210799.0,701838.0,,182207.0,,
Hermosillo,2010,10.36,225632.0,784342.0,97.4,213304.0,,
Hermosillo,2015,11.0618263,,,98.2590046826664,257694.0,,53.464551
Hermosillo,2020,11.2953864674033,252613.0,936263.0,98.2919866184362,278550.0,68.672832295145,70.3870112038072
Huachinera,1995,,,1290.0,,332.0,,
Huachinera,2000,6.0,253.0,1147.0,93.9072847682119,309.0,,
Huachinera,2005,6.4,301.0,1223.0,,352.0,,
Huachinera,2010,6.88,376.0,1350.0,95.82,394.0,,
Huachinera,2015,7.3114035,,,94.7483588621444,409.0,,3.4229829
Huachinera,2020,7.85714285714286,263.0,1186.0,95.8963282937365,395.0,66.497461928934,33.248730964467
Huasabas,1995,,,1024.0,,249.0,,
Huasabas,2000,6.8,251.0,966.0,95.1951951951952,263.0,,
Huasabas,2005,7.2,217.0,865.0,,255.0,,
Huasabas,2010,7.91,280.0,962.0,94.4,286.0,,
Huasabas,2015,8.4414814,,,96.759941089838,275.0,,30.545455
Huasabas,2020,8.99295774647887,205.0,888.0,98.169014084507,299.0,68.2274247491639,51.8394648829431
Huatabampo,1995,,,75706.0,,15855.0,,
Huatabampo,2000,7.2,20711.0,76296.0,92.3695639472608,17098.0,,
Huatabampo,2005,7.8,21402.0,74533.0,,17865.0,,
Huatabampo,2010,8.46,22660.0,79313.0,94.09,19686.0,,
Huatabampo,2015,9.0236045,,,95.0708357783552,21299.0,,21.852252
Huatabampo,2020,9.58900479373439,18900.0,77682.0,96.5701386432169,21432.0,44.2945186291904,30.8432159865534
Huepac,1995,,,1131.0,,302.0,,
Huepac,2000,7.2,304.0,1142.0,96.8369829683698,323.0,,
Huepac,2005,7.6,258.0,1032.0,,306.0,,
Huepac,2010,8.39,298.0,1154.0,96.0,345.0,,
Huepac,2015,8.3872,,,93.9024390243902,307.0,,27.687296
Huepac,2020,9.23224043715847,185.0,943.0,98.2408660351827,328.0,73.7003058103976,61.1620795107034
Imuris,1995,,,9028.0,,2080.0,,
Imuris,2000,6.8,2549.0,9988.0,94.6554149085795,2301.0,,
Imuris,2005,7.5,2961.0,10541.0,,2659.0,,
Imuris,2010,8.06,3456.0,12316.0,95.83,3198.0,,
Imuris,2015,8.4697311,,,96.8109082713545,3594.0,,35.578535
Imuris,2020,8.92532179316467,3115.0,12536.0,96.6290893015031,3544.0,64.619303707897,49.4763656948769
La Colorada,1995,,,2390.0,,610.0,,
La Colorada,2000,6.1,512.0,2306.0,93.6741214057508,645.0,,
La Colorada,2005,6.3,403.0,1754.0,,555.0,,
La Colorada,2010,6.52,331.0,1663.0,93.09,561.0,,
La Colorada,2015,7.3358208,,,94.5996275605214,720.0,,3.3566434
La Colorada,2020,7.57093663911846,300.0,1848.0,95.7621326042379,682.0,60.6194690265487,11.9469026548673
Magdalena,1995,,,22206.0,,5279.0,,
Magdalena,2000,8.0,6549.0,24447.0,96.7045949138842,6010.0,,
Magdalena,2005,8.5,7081.0,25500.0,,6596.0,,
Magdalena,2010,9.2,8491.0,29707.0,97.32,7849.0,,
Magdalena,2015,9.5012927,,,97.8405462930117,9079.0,,45.806238
Magdalena,2020,10.0092935274282,8834.0,33049.0,98.1731044935076,9864.0,73.1296315094914,61.7602273880824
Mazatan,1995,,,1835.0,,462.0,,
Mazatan,2000,7.1,454.0,1584.0,95.6164383561644,432.0,,
Mazatan,2005,7.3,333.0,1363.0,,434.0,,
Mazatan,2010,7.65,353.0,1350.0,95.32,435.0,,
Mazatan,2015,8.3727087,,,96.4430894308943,411.0,,14.914425
Mazatan,2020,8.50888888888889,190.0,1101.0,97.3421926910299,402.0,71.072319201995,26.1845386533666
Moctezuma,1995,,,4095.0,,1026.0,,
Moctezuma,2000,8.0,1124.0,4187.0,97.0619097586569,1096.0,,
Moctezuma,2005,8.8,1313.0,4322.0,,1233.0,,
Moctezuma,2010,9.27,1441.0,4680.0,97.27,1350.0,,
Moctezuma,2015,9.9838577,,,98.1798424341211,1516.0,,49.472296
